unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.60E+12,2020-08-30 00:00,BTC/USDT,11465.84,11719,11458,11711.16,43177.87905,501375342.9,756541
1.60E+12,2020-08-29 00:00,BTC/USDT,11526.9,11580.02,11417.04,11465.84,32973.7992,379228275.3,611834
1.60E+12,2020-08-28 00:00,BTC/USDT,11330.38,11542.65,11276.89,11526.91,45953.90837,525606229.7,719985
1.60E+12,2020-08-27 00:00,BTC/USDT,11461.42,11592.2,11125,11330.38,63246.03638,717474981.7,959270
1.60E+12,2020-08-26 00:00,BTC/USDT,11318.42,11539.32,11244,11461.43,53998.23123,615452790,862654
1.60E+12,2020-08-25 00:00,BTC/USDT,11748.19,11767.85,11117.64,11318.42,69590.92327,797034671.6,996668
1.60E+12,2020-08-24 00:00,BTC/USDT,11648.12,11824.9,11585.09,11748.2,46212.39187,542298951.5,656584
1.60E+12,2020-08-23 00:00,BTC/USDT,11663.51,11718.07,11514.13,11648.13,37900.00469,440406018.7,627352
1.60E+12,2020-08-22 00:00,BTC/USDT,11531.23,11686,11376.81,11662.96,43678.70165,504305451.4,809328
1.60E+12,2020-08-21 00:00,BTC/USDT,11853.54,11878,11485.81,11531.34,64448.30614,755451999.7,1189668
1.60E+12,2020-08-20 00:00,BTC/USDT,11754.38,11888,11668,11853.55,46085.25435,543576025,798027
1.60E+12,2020-08-19 00:00,BTC/USDT,11945.1,12020.08,11561,11754.59,73940.16961,870612801.5,1258060
1.60E+12,2020-08-18 00:00,BTC/USDT,12281.15,12387.77,11817.93,11945.01,75923.83553,920402307.2,1189390
1.60E+12,2020-08-17 00:00,BTC/USDT,11910.99,12468,11769.78,12281.13,84734.21154,1026883453,1210228
1.60E+12,2020-08-16 00:00,BTC/USDT,11852.4,11931.72,11686,11911,41368.23691,489731524.6,790240
1.60E+12,2020-08-15 00:00,BTC/USDT,11760.55,11980,11680,11852.4,56237.90505,667446824.1,1018956
1.60E+12,2020-08-14 00:00,BTC/USDT,11779.77,11850,11634.03,11760.54,59818.8527,702273220.7,1011746
